ISIN,Strategy Key,Language,Fund Name,Currency,Last Updated Date,Text
IE00BVFNXR83,60191,en,Franklin Floating Rate Fund PLC A EUR-H1 Dis,EUR,2025-05-04 13:15:19,April 2025
IE00BVFNXR83,60191,zh-HK,Franklin Floating Rate Fund PLC A EUR-H1 Dis,EUR,2025-05-04 13:15:19,
IE00BVFNXR83,60191,zh-CN,Franklin Floating Rate Fund PLC A EUR-H1 Dis,EUR,2025-05-04 13:15:19,
IE00BK6VSP79,738184,en,Franklin Floating Rate Fund PLC A HKD Dis,HKD,2025-05-04 13:15:19,April 2025
IE00BK6VSP79,738184,zh-HK,Franklin Floating Rate Fund PLC A HKD Dis,HKD,2025-05-04 13:15:19,
IE00BK6VSP79,738184,zh-CN,Franklin Floating Rate Fund PLC A HKD Dis,HKD,2025-05-04 13:15:19,
IE00B000C709,45990,en,Franklin Floating Rate Fund PLC A USD Acc,USD,2025-05-04 13:15:19,April 2025
IE00B000C709,45990,zh-HK,Franklin Floating Rate Fund PLC A USD Acc,USD,2025-05-04 13:15:19,
IE00B000C709,45990,zh-CN,Franklin Floating Rate Fund PLC A USD Acc,USD,2025-05-04 13:15:19,
IE0032578035,17210,en,Franklin Floating Rate Fund PLC A USD Dis,USD,2025-05-04 13:15:19,April 2025
IE0032578035,17210,zh-HK,Franklin Floating Rate Fund PLC A USD Dis,USD,2025-05-04 13:15:19,
IE0032578035,17210,zh-CN,Franklin Floating Rate Fund PLC A USD Dis,USD,2025-05-04 13:15:19,
IE0030700888,36675,en,Franklin Floating Rate Fund PLC B USD Dis,USD,2025-05-04 13:15:19,April 2025
IE0030700888,36675,zh-HK,Franklin Floating Rate Fund PLC B USD Dis,USD,2025-05-04 13:15:19,
IE0030700888,36675,zh-CN,Franklin Floating Rate Fund PLC B USD Dis,USD,2025-05-04 13:15:19,
LU0498741114,25903,en,Franklin Gold & Precious Metals Fund A(acc)HKD,HKD,2025-05-04 13:15:45,April 2025
LU0498741114,25903,zh-HK,Franklin Gold & Precious Metals Fund A(acc)HKD,HKD,2025-05-04 13:15:45,
LU0498741114,25903,zh-CN,Franklin Gold & Precious Metals Fund A(acc)HKD,HKD,2025-05-04 13:15:45,
LU0496367417,20741,en,Franklin Gold & Precious Metals Fund A(acc)USD,USD,2025-05-04 13:15:45,April 2025
LU0496367417,20741,zh-HK,Franklin Gold & Precious Metals Fund A(acc)USD,USD,2025-05-04 13:15:45,
LU0496367417,20741,zh-CN,Franklin Gold & Precious Metals Fund A(acc)USD,USD,2025-05-04 13:15:45,
LU0065014192,17220,en,Franklin High Yield Fund A(Mdis)USD,USD,2025-05-04 13:16:12,April 2025
LU0065014192,17220,zh-HK,Franklin High Yield Fund A(Mdis)USD,USD,2025-05-04 13:16:12,
LU0065014192,17220,zh-CN,Franklin High Yield Fund A(Mdis)USD,USD,2025-05-04 13:16:12,
