STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
22260,Templeton Emerging Markets Fund A(Ydis)USD,LU0029874905,USD,true,en,2014-03-31 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04N8X&documenttype=76&market=0&investmenttype=1&frame=0
22264,Templeton Global Total Return Fund B(acc)USD,LU0170477102,USD,false,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04HRZ&documenttype=76&market=1447&investmenttype=1&frame=0
22264,Templeton Global Total Return Fund B(acc)USD,LU0170477102,USD,false,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04HRZ&documenttype=76&market=1447&investmenttype=1&frame=0
22262,Templeton Global Bond Fund A(Mdis)AUD-H1,LU0536402570,AUD,true,zh_TW,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000JTUP&documenttype=76&market=1447&investmenttype=1&frame=0
22262,Templeton Global Bond Fund A(Mdis)AUD-H1,LU0536402570,AUD,true,en,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000JTUP&documenttype=76&market=1447&investmenttype=1&frame=0
22263,Templeton Global Income Fund A(Qdis)USD,LU0211326839,USD,true,zh_TW,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR05XB9&documenttype=76&market=1447&investmenttype=1&frame=0
22263,Templeton Global Income Fund A(Qdis)USD,LU0211326839,USD,true,en,2024-04-29 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR05XB9&documenttype=76&market=1447&investmenttype=1&frame=0
22263,Templeton Global Income Fund A(Qdis)USD,LU0211326839,USD,true,en,2014-04-17 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR05XB9&documenttype=76&market=0&investmenttype=1&frame=0
52481,AB - American Income Portfolio AA EUR H Inc,LU1069345509,EUR,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000THSC&documenttype=76&market=1447&investmenttype=1&frame=0
52481,AB - American Income Portfolio AA EUR H Inc,LU1069345509,EUR,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000THSC&documenttype=76&market=1447&investmenttype=1&frame=0
52482,AB - American Income Portfolio AA NZD H Inc,LU1069345418,NZD,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000THSA&documenttype=76&market=1447&investmenttype=1&frame=0
52482,AB - American Income Portfolio AA NZD H Inc,LU1069345418,NZD,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000THSA&documenttype=76&market=1447&investmenttype=1&frame=0
