STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL,Date from ecura DB,Status as of 21/9/2024,Days since last updated in TTS DB,Days since last updated from PDF File
20705,BlackRock Global Funds - Japan Flexible Equity Fund A2,LU0249410860,JPY,True,en,2024-04-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=FOGBR05U68&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,173
45990,Franklin Floating Rate Fund PLC A USD Acc,IE00B000C709,USD,True,zh_TW,2024-08-02,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR05W0X&documenttype=76&market=1447&investmenttype=1&frame=0,2024-08-01,Up to date,51.0,50
45990,Franklin Floating Rate Fund PLC A USD Acc,IE00B000C709,USD,True,en,2024-08-02,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR05W0X&documenttype=76&market=1447&investmenttype=1&frame=0,2024-08-01,Up to date,51.0,50
45997,Eastspring Investments - Japan Dynamic Fund - A (hedged),LU0965088593,USD,True,zh_TW,2024-06-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000QF7E&documenttype=76&market=1447&investmenttype=1&frame=0,2024-06-01,Up to date,112.0,112
45997,Eastspring Investments - Japan Dynamic Fund - A (hedged),LU0965088593,USD,True,en,2024-06-01,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000QF7E&documenttype=76&market=1447&investmenttype=1&frame=0,2024-06-01,Up to date,112.0,112
164890,Invesco Funds - Invesco Asian Equity Fund C Annual Distribution USD,LU1775950394,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010ONK&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164890,Invesco Funds - Invesco Asian Equity Fund C Annual Distribution USD,LU1775950394,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010ONK&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010ON8&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010ON8&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010ON8&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010ON8&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010ON8&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164908,Invesco Funds - Invesco ASEAN Equity Fund A Annual Distribution USD,LU1775947333,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010ON8&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164911,Invesco Funds - Invesco Continental European Equity Fund A Annual Distribution EUR,LU1775948901,EUR,False,zh_TW,2023-04-28,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OOZ&documenttype=76&market=1447&investmenttype=1&frame=0,2023-04-01,Up to date,539.0,512
164911,Invesco Funds - Invesco Continental European Equity Fund A Annual Distribution EUR,LU1775948901,EUR,False,en,2023-04-28,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OOZ&documenttype=76&market=1447&investmenttype=1&frame=0,2023-04-01,Up to date,539.0,512
164912,Invesco Funds - Invesco Continental European Small Cap Equity Fund B Annual Distribution USD,LU1775961672,USD,False,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OUG&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164912,Invesco Funds - Invesco Continental European Small Cap Equity Fund B Annual Distribution USD,LU1775961672,USD,False,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OUG&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164913,Invesco Funds - Invesco Emerging Markets Bond Fund A USD Fixed Monthly Distribution USD,LU1775955278,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OV6&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164913,Invesco Funds - Invesco Emerging Markets Bond Fund A USD Fixed Monthly Distribution USD,LU1775955278,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OV6&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164914,Invesco Funds - Invesco Emerging Markets Equity Fund B Annual Distribution USD,LU1775952762,USD,False,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OVK&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164914,Invesco Funds - Invesco Emerging Markets Equity Fund B Annual Distribution USD,LU1775952762,USD,False,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OVK&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164915,Invesco Global Health Care Innovation Fund B-AD Shares,LU1775951871,USD,False,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OVS&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164915,Invesco Global Health Care Innovation Fund B-AD Shares,LU1775951871,USD,False,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OVS&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OW6&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OW6&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
