Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
45712,LU1230129766,1/4/2023,20/4/2024,491,106,YES
160243,LU1152091168,1/4/2023,20/4/2024,491,106,YES
160242,LU1152091754,1/4/2023,20/4/2024,491,106,YES
45715,LU1115430461,1/4/2023,20/4/2024,491,106,YES
45745,LU1008478684,1/4/2023,20/4/2024,491,106,YES
329097,LU1960683339,1/4/2023,2/4/2024,491,124,YES
198671,LU1807302812,1/4/2023,2/4/2024,491,124,YES
35922,LU0246274897,1/4/2023,21/6/2024,491,44,YES
47535,LU0868495184,1/4/2023,12/4/2024,491,114,YES
47536,LU0868495002,1/4/2023,12/4/2024,491,114,YES
45295,LU0868494617,1/4/2023,12/4/2024,491,114,YES
45306,LU0942090050,1/4/2023,12/4/2024,491,114,YES
59634,LU1269690746,1/4/2023,16/5/2024,491,80,YES
59633,LU1226287529,1/4/2023,16/5/2024,491,80,YES
59631,LU1226288253,1/4/2023,16/5/2024,491,80,YES
59632,LU1226288170,1/4/2023,16/5/2024,491,80,YES
45766,LU0882747503,1/10/2023,16/5/2024,308,80,YES
45615,LU0878005809,1/10/2023,16/5/2024,308,80,YES
45614,LU0878004406,1/10/2023,16/5/2024,308,80,YES
45780,LU0878006104,1/10/2023,16/5/2024,308,80,YES
45722,LU0878005551,1/10/2023,16/5/2024,308,80,YES
94244,LU1038902331,1/4/2023,16/5/2024,491,80,YES
114866,LU1722559652,1/4/2023,16/5/2024,491,80,YES
114859,LU1722559579,1/4/2023,16/5/2024,491,80,YES
94245,LU1038902505,1/4/2023,16/5/2024,491,80,YES
45744,KYG9317M1520,1/4/2022,30/4/2024,856,96,YES
39899,KYG9317M1033,1/4/2022,30/4/2024,856,96,YES
45788,KYG9317M1603,1/4/2022,30/4/2024,856,96,YES
45809,KYG9317M1454,1/4/2022,30/4/2024,856,96,YES
45753,KYG9317M1116,1/4/2022,30/4/2024,856,96,YES
45748,KYG9317M1371,1/4/2022,30/4/2024,856,96,YES
106271,HK0000362241,1/4/2022,30/4/2024,856,96,YES
45828,HK0000264884,1/4/2022,30/4/2024,856,96,YES
106270,HK0000360898,1/4/2022,30/4/2024,856,96,YES
106272,HK0000362258,1/4/2022,30/4/2024,856,96,YES
106269,HK0000360880,1/4/2022,30/4/2024,856,96,YES
36498,KYG9319N1337,1/10/2023,30/4/2024,308,96,YES
45724,KYG9319N2400,1/10/2023,30/4/2024,308,96,YES
45833,KYG9319N2574,1/10/2023,30/4/2024,308,96,YES
45913,KYG9319N3317,1/10/2023,30/4/2024,308,96,YES
36493,KYG9319N1253,1/10/2023,30/4/2024,308,96,YES
45818,KYG9319N2327,1/10/2023,30/4/2024,308,96,YES
36463,KYG9319N1097,1/10/2023,30/4/2024,308,96,YES
36470,KYG9319N1170,1/10/2023,30/4/2024,308,96,YES
93159,HK0000288784,1/4/2023,30/4/2024,491,96,YES
50030,HK0000288792,1/4/2023,30/4/2024,491,96,YES
50028,HK0000288768,1/4/2023,30/4/2024,491,96,YES
50029,HK0000288743,1/4/2023,30/4/2024,491,96,YES
50027,HK0000288750,1/4/2023,30/4/2024,491,96,YES
60752,HK0000288735,1/4/2023,30/4/2024,491,96,YES
53335,IE00BQJZX424,1/4/2022,30/4/2022,856,827,NO
53339,IE00BQJZX531,1/4/2022,30/4/2022,856,827,NO
53338,IE00BQJZX200,1/4/2022,30/4/2022,856,827,NO
36544,IE00B50HYN61,1/4/2022,30/4/2022,856,827,NO
36409,IE00B51GHT90,1/3/2021,1/3/2021,1252,1252,NO
36405,IE00B53FBM50,1/3/2021,1/3/2021,1252,1252,NO
24891,IE00B19Z4B17,1/4/2023,19/4/2024,491,107,YES
45508,IE00BB0QYY64,1/4/2023,19/4/2024,491,107,YES
79011,,1/3/2019,Date not found in the paragraph,1983,,YES
29639,,1/3/2019,Date not found in the paragraph,1983,,YES
79015,,1/3/2019,Date not found in the paragraph,1983,,YES
79010,,1/3/2019,Date not found in the paragraph,1983,,YES
79014,,1/3/2019,Date not found in the paragraph,1983,,YES
79013,,1/3/2019,Date not found in the paragraph,1983,,YES
30873,,1/3/2019,Date not found in the paragraph,1983,,YES
79012,,1/3/2019,Date not found in the paragraph,1983,,YES
45742,IE00B4XJJ152,1/4/2023,19/4/2024,491,107,YES
36485,IE00B2Q1FG14,1/4/2023,19/4/2024,491,107,YES
36401,IE00B52FBY81,1/4/2023,19/4/2024,491,107,YES
36462,IE00B2Q1FL66,1/4/2023,19/4/2024,491,107,YES
17822,IE00B2Q1FD82,1/4/2023,19/4/2024,491,107,YES
363272,IE00BZ9MQX69,1/4/2023,19/4/2024,491,107,YES
36504,IE00B19Z4X37,1/4/2022,30/4/2022,856,827,NO
36506,IE00B19Z5636,1/4/2022,30/4/2022,856,827,NO
56937,IE00B78RNS08,1/4/2022,30/4/2022,856,827,NO
36476,IE00B50JNS00,1/4/2023,7/6/2024,491,58,YES
36486,IE00B1BXHP82,1/4/2023,7/6/2024,491,58,YES
45052,IE00B7SBJ061,1/4/2023,7/6/2024,491,58,YES
36499,IE00B2417S93,1/4/2023,7/6/2024,491,58,YES
36415,IE00B19Z6Z90,1/4/2023,7/6/2024,491,58,YES
